
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,MIL,,COL,L,0,10,,0-1,3,1.0,Kendrick,Lohse,,3:00,D,46032,-
2,2,Tuesday Apr 7,boxscore,MIL,,COL,L,2,5,,0-2,5,1.5,Lyles,Garza,Hawkins,2:48,N,30222,--
3,3,Wednesday Apr 8,boxscore,MIL,,COL,L,4,5,10,0-3,5,2.5,Hawkins,Rodriguez,Axford,3:15,N,28720,---
4,4,Friday Apr 10,boxscore,MIL,,PIT,L,2,6,,0-4,5,4.0,Locke,Fiers,,3:13,N,27373,----
5,5,Saturday Apr 11,boxscore,MIL,,PIT,W,6,0,,1-4,4,3.0,Nelson,Worley,,2:26,N,41108,+
6,6,Sunday Apr 12,boxscore,MIL,,PIT,L,2,10,,1-5,5,3.0,Sadler,Lohse,,3:00,D,39017,-
7,7,Monday Apr 13,boxscore,MIL,@,STL,W,5,4,,2-5,5,2.5,Garza,Wainwright,Rodriguez,3:01,D,47875,+
8,8,Wednesday Apr 15,boxscore,MIL,@,STL,L,2,4,,2-6,5,3.0,Lynn,Peralta,Rosenthal,2:50,N,40826,-
9,9,Thursday Apr 16,boxscore,MIL,@,STL,L,0,4,,2-7,5,3.5,Lackey,Fiers,,2:54,D,40079,--
10,10,Friday Apr 17,boxscore,MIL,@,PIT,L,3,6,,2-8,5,4.5,Worley,Nelson,Melancon,2:57,N,25664,---
11,11,Saturday Apr 18,boxscore,MIL,@,PIT,L,2,6,,2-9,5,5.5,Locke,Lohse,,2:30,N,33961,----
12,12,Sunday Apr 19,boxscore,MIL,@,PIT,L,2,5,,2-10,5,6.5,Cole,Garza,Melancon,2:39,D,28129,-----
13,13,Monday Apr 20,boxscore,MIL,,CIN,L,1,6,,2-11,5,7.0,DeSclafani,Peralta,,2:23,N,26660,------
14,14,Tuesday Apr 21,boxscore,MIL,,CIN,L,10,16,,2-12,5,7.0,Marquis,Fiers,,3:22,N,27293,-------
15,15,Wednesday Apr 22,boxscore,MIL,,CIN,L,1,2,,2-13,5,8.0,Cueto,Rodriguez,Chapman,2:28,N,30452,--------
16,16,Thursday Apr 23,boxscore,MIL,,CIN,W,4,2,,3-13,5,8.0,Lohse,Gregg,Rodriguez,2:28,D,27795,+
17,17,Friday Apr 24,boxscore,MIL,,STL,L,0,3,,3-14,5,9.0,Martinez,Garza,Rosenthal,2:42,N,26286,-
18,18,Saturday Apr 25,boxscore,MIL,,STL,L,3,5,,3-15,5,10.0,Belisle,Peralta,Maness,3:01,N,35919,--
19,19,Sunday Apr 26,boxscore,MIL,,STL,W,6,3,,4-15,5,9.0,Blazek,Lynn,Rodriguez,3:03,D,32758,+
20,20,Monday Apr 27,boxscore,MIL,@,CIN,L,6,9,,4-16,5,9.0,Marquis,Nelson,,3:02,N,17167,-
