
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,SDP,@,LAD,L,3,6,,0-1,4,1.0,Peralta,Kelley,Hatcher,3:04,D,53518,-
2,2,Tuesday Apr 7,boxscore,SDP,@,LAD,W,7,3,,1-1,2,1.0,Benoit,Hatcher,,3:31,N,40356,+
3,3,Wednesday Apr 8,boxscore,SDP,@,LAD,L,4,7,,1-2,4,2.0,McCarthy,Cashner,Peralta,3:16,N,52204,-
4,4,Thursday Apr 9,boxscore,SDP,,SFG,L,0,1,12,1-3,5,2.5,Kontos,Vincent,Casilla,4:05,D,45159,--
5,5,Friday Apr 10,boxscore,SDP,,SFG,W,1,0,,2-3,5,2.5,Benoit,Affeldt,Kimbrel,2:31,N,40015,+
6,6,Saturday Apr 11,boxscore,SDP,,SFG,W,10,2,,3-3,3,1.5,Shields,Bumgarner,,3:14,N,42823,++
7,7,Sunday Apr 12,boxscore,SDP,,SFG,W,6,4,,4-3,2,0.5,Ross,Peavy,Kimbrel,3:01,D,40184,+++
8,8,Monday Apr 13,boxscore,SDP,,ARI,L,4,8,,4-4,4,1.5,De La Rosa,Cashner,,3:02,N,19538,-
9,9,Tuesday Apr 14,boxscore,SDP,,ARI,W,5,1,,5-4,3,1.5,Despaigne,Hellickson,,2:31,N,20102,+
10,10,Wednesday Apr 15,boxscore,SDP,,ARI,W,3,2,,6-4,3,1.5,Benoit,Delgado,Kimbrel,2:41,N,23104,++
11,11,Friday Apr 17,boxscore,SDP,@,CHC,W,5,4,,7-4,3,0.5,Shields,Schlitter,Kimbrel,2:57,D,32138,+++
12,12,Saturday Apr 18,boxscore,SDP,@,CHC,L-wo,6,7,11,7-5,3,1.5,Rosscup,Kimbrel,,3:49,D,33958,-
13,13,Sunday Apr 19,boxscore,SDP,@,CHC,W,5,2,,8-5,2,1.5,Cashner,Lester,Benoit,2:51,D,29113,+
14,14,Monday Apr 20,boxscore,SDP,@,COL,W,14,3,,9-5,2,1.0,Despaigne,De La Rosa,,3:09,N,22586,++
15,15,Tuesday Apr 21,boxscore,SDP,@,COL,W,7,6,,10-5,1,Tied,Maurer,Logan,Kimbrel,3:06,N,22600,+++
16,16,Wednesday Apr 22,boxscore,SDP,@,COL,L-wo,4,5,,10-6,1,Tied,Ottavino,Kelley,,2:39,N,22705,-
17,17,Thursday Apr 23,boxscore,SDP,@,COL,L,1,2,,10-7,1,Tied,Lyles,Ross,Axford,2:53,D,31676,--
18,18,Friday Apr 24,boxscore,SDP,,LAD,L,0,3,,10-8,3,1.0,Greinke,Cashner,Garcia,3:04,N,43055,---
19,19,Saturday Apr 25,boxscore,SDP,,LAD,L,8,11,,10-9,3,2.0,McCarthy,Kennedy,,3:36,N,44454,----
20,20,Sunday Apr 26,boxscore,SDP,,LAD,W,3,1,,11-9,2,1.0,Morrow,Baker,Kimbrel,2:30,D,43256,+
21,21,Monday Apr 27,boxscore,SDP,,HOU,L,4,9,,11-10,3,2.0,Neshek,Benoit,,3:28,N,19532,-
22,22,Tuesday Apr 28,boxscore,SDP,,HOU,L,3,14,,11-11,3,2.0,Hernandez,Ross,,3:17,N,22796,--
23,23,Wednesday Apr 29,boxscore,SDP,,HOU,L,2,7,,11-12,3,3.0,Keuchel,Cashner,,2:34,D,21824,---
24,24,Friday May 1,boxscore,SDP,,COL,W,14,3,,12-12,2,3.0,Kennedy,Butler,,3:26,N,30186,+
25,25,Saturday May 2,boxscore,SDP,,COL,W,4,2,,13-12,2,3.0,Morrow,De La Rosa,Kimbrel,2:57,N,28058,++
26,26,Sunday May 3,boxscore,SDP,,COL,W,8,6,,14-12,2,3.0,Shields,Kendrick,Kimbrel,3:12,D,34197,+++
27,27,Monday May 4,boxscore,SDP,@,SFG,L,0,2,,14-13,2,3.0,Bumgarner,Ross,Casilla,2:32,N,41278,-
28,28,Tuesday May 5,boxscore,SDP,@,SFG,L,0,6,,14-14,3,4.0,Vogelsong,Cashner,,2:25,N,41358,--
29,29,Wednesday May 6,boxscore,SDP,@,SFG,W,9,1,,15-14,2,3.0,Kennedy,Heston,,2:59,D,41060,+
30,30,Thursday May 7,boxscore,SDP,@,ARI,L,0,11,,15-15,2,4.0,De La Rosa,Despaigne,,2:52,N,16929,-
31,31,Friday May 8,boxscore,SDP,@,ARI,W,6,5,,16-15,2,4.0,Shields,Burgos,Kimbrel,3:26,N,28677,+
32,32,Saturday May 9,boxscore,SDP,@,ARI,W,6,4,12,17-15,2,3.5,Quackenbush,Delgado,,4:17,N,27340,++
33,33,Sunday May 10,boxscore,SDP,@,ARI,L,1,2,,17-16,2,4.5,Ramirez,Cashner,Reed,2:47,D,24881,-
