
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,SFG,@,ARI,W,5,4,,1-0,1,Tied,Bumgarner,Collmenter,Casilla,3:18,N,49043,+
2,2,Tuesday Apr 7,boxscore,SFG,@,ARI,L,6,7,,1-1,2,1.0,De La Rosa,Vogelsong,Reed,3:10,N,22626,-
3,3,Wednesday Apr 8,boxscore,SFG,@,ARI,W,5,2,,2-1,2,1.0,Heston,Hellickson,Casilla,3:08,N,21642,+
4,4,Thursday Apr 9,boxscore,SFG,@,SDP,W,1,0,12,3-1,2,0.5,Kontos,Vincent,Casilla,4:05,D,45159,++
5,5,Friday Apr 10,boxscore,SFG,@,SDP,L,0,1,,3-2,2,1.5,Benoit,Affeldt,Kimbrel,2:31,N,40015,-
6,6,Saturday Apr 11,boxscore,SFG,@,SDP,L,2,10,,3-3,3,1.5,Shields,Bumgarner,,3:14,N,42823,--
7,7,Sunday Apr 12,boxscore,SFG,@,SDP,L,4,6,,3-4,5,1.5,Ross,Peavy,Kimbrel,3:01,D,40184,---
8,8,Monday Apr 13,boxscore,SFG,,COL,L,0,2,,3-5,5,2.5,Butler,Heston,Betancourt,2:58,D,42019,----
9,9,Tuesday Apr 14,boxscore,SFG,,COL,L,1,4,,3-6,5,3.5,Oberg,Hudson,Ottavino,3:09,N,41051,-----
10,10,Wednesday Apr 15,boxscore,SFG,,COL,L,2,4,,3-7,5,4.5,Matzek,Lincecum,Ottavino,2:51,N,41188,------
11,11,Thursday Apr 16,boxscore,SFG,,ARI,L,6,7,12,3-8,5,5.0,Delgado,Romo,,4:20,N,41545,-------
12,12,Friday Apr 17,boxscore,SFG,,ARI,L,0,9,,3-9,5,5.0,Collmenter,Peavy,,3:00,N,41550,--------
13,13,Saturday Apr 18,boxscore,SFG,,ARI,W,4,1,,4-9,5,5.0,Heston,De La Rosa,Casilla,2:38,N,41756,+
14,14,Sunday Apr 19,boxscore,SFG,,ARI,L,1,5,,4-10,5,6.0,Hellickson,Hudson,,2:45,D,41528,-
15,15,Tuesday Apr 21,boxscore,SFG,,LAD,W,6,2,,5-10,5,5.0,Lincecum,Anderson,Casilla,3:09,N,41386,+
16,16,Wednesday Apr 22,boxscore,SFG,,LAD,W-wo,3,2,,6-10,5,4.0,Casilla,Hatcher,,3:16,N,42259,++
17,17,Thursday Apr 23,boxscore,SFG,,LAD,W-wo,3,2,10,7-10,5,3.0,Casilla,Nicasio,,3:23,D,41240,+++
18,18,Friday Apr 24,boxscore,SFG,@,COL,L,4,6,,7-11,5,4.0,Butler,Heston,Ottavino,2:51,N,31453,-
19,19,Saturday Apr 25,boxscore,SFG,@,COL,W,5,4,11,8-11,5,4.0,Machi,Brown,,3:52,N,36474,+
20,20,Monday Apr 27,boxscore,SFG,@,LAD,L,3,8,,8-12,5,4.5,Frias,Lincecum,,2:58,N,46704,-
21,21,Tuesday Apr 28,boxscore,SFG,@,LAD,W,2,1,,9-12,5,3.5,Bumgarner,Kershaw,Casilla,2:50,N,50161,+
22,22,Wednesday Apr 29,boxscore,SFG,@,LAD,L,3,7,,9-13,5,4.5,Greinke,Vogelsong,,2:54,N,53285,-
23,23,Friday May 1,boxscore,SFG,,LAA,W-wo,3,2,,10-13,5,4.5,Casilla,Smith,,3:04,N,41507,+
24,24,Saturday May 2,boxscore,SFG,,LAA,W,5,4,,11-13,4,4.5,Hudson,Santiago,Casilla,2:36,D,41287,++
25,25,Sunday May 3,boxscore,SFG,,LAA,W,5,0,,12-13,3,4.5,Lincecum,Weaver,,2:16,D,41516,+++
26,26,Monday May 4,boxscore,SFG,,SDP,W,2,0,,13-13,3,3.5,Bumgarner,Ross,Casilla,2:32,N,41278,++++
27,27,Tuesday May 5,boxscore,SFG,,SDP,W,6,0,,14-13,2,3.5,Vogelsong,Cashner,,2:25,N,41358,+++++
28,28,Wednesday May 6,boxscore,SFG,,SDP,L,1,9,,14-14,3,3.5,Kennedy,Heston,,2:59,D,41060,-
29,29,Thursday May 7,boxscore,SFG,,MIA,L,2,7,,14-15,3,4.5,Haren,Hudson,,2:31,N,41367,--
