
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,ARI,,SFG,L,4,5,,0-1,4,1.0,Bumgarner,Collmenter,Casilla,3:18,N,49043,-
2,2,Tuesday Apr 7,boxscore,ARI,,SFG,W,7,6,,1-1,2,1.0,De La Rosa,Vogelsong,Reed,3:10,N,22626,+
3,3,Wednesday Apr 8,boxscore,ARI,,SFG,L,2,5,,1-2,4,2.0,Heston,Hellickson,Casilla,3:08,N,21642,-
4,4,Friday Apr 10,boxscore,ARI,,LAD,W-wo,4,3,10,2-2,3,2.0,Perez,Howell,,3:01,N,27404,+
5,5,Saturday Apr 11,boxscore,ARI,,LAD,W,6,0,,3-2,2,1.0,Bradley,Kershaw,,2:36,N,37636,++
6,6,Sunday Apr 12,boxscore,ARI,,LAD,L,4,7,,3-3,3,1.0,Greinke,Collmenter,Peralta,3:27,D,29678,-
7,7,Monday Apr 13,boxscore,ARI,@,SDP,W,8,4,,4-3,2,1.0,De La Rosa,Cashner,,3:02,N,19538,+
8,8,Tuesday Apr 14,boxscore,ARI,@,SDP,L,1,5,,4-4,4,2.0,Despaigne,Hellickson,,2:31,N,20102,-
9,9,Wednesday Apr 15,boxscore,ARI,@,SDP,L,2,3,,4-5,4,3.0,Benoit,Delgado,Kimbrel,2:41,N,23104,--
10,10,Thursday Apr 16,boxscore,ARI,@,SFG,W,7,6,12,5-5,4,2.5,Delgado,Romo,,4:20,N,41545,+
11,11,Friday Apr 17,boxscore,ARI,@,SFG,W,9,0,,6-5,4,1.5,Collmenter,Peavy,,3:00,N,41550,++
12,12,Saturday Apr 18,boxscore,ARI,@,SFG,L,1,4,,6-6,4,2.5,Heston,De La Rosa,Casilla,2:38,N,41756,-
13,13,Sunday Apr 19,boxscore,ARI,@,SFG,W,5,1,,7-6,4,2.5,Hellickson,Hudson,,2:45,D,41528,+
14,14,Tuesday Apr 21,boxscore,ARI,,TEX,L,1,7,,7-7,3,2.5,Tolleson,Hudson,,3:04,N,18345,-
15,15,Wednesday Apr 22,boxscore,ARI,,TEX,W,8,5,,8-7,3,1.5,Bradley,Gallardo,,2:59,N,17886,+
16,16,Friday Apr 24,boxscore,ARI,,PIT,L,1,4,,8-8,4,2.0,Cole,Collmenter,Melancon,2:41,N,24427,-
17,17,Saturday Apr 25,boxscore,ARI,,PIT,L,1,2,,8-9,4,3.0,Watson,Reed,Melancon,2:52,N,38859,--
18,18,Sunday Apr 26,boxscore,ARI,,PIT,L,0,8,,8-10,4,3.0,Liriano,Hellickson,,3:18,D,32353,---
19,19,Monday Apr 27,boxscore,ARI,,COL,L,4,5,,8-11,4,4.0,Matzek,Anderson,Axford,3:29,N,17444,----
20,20,Tuesday Apr 28,boxscore,ARI,,COL,W,12,5,,9-11,4,3.0,Chafin,Kendrick,,3:10,N,18792,+
