
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,ATL,@,MIA,W,2,1,,1-0,1,Tied,Teheran,Alvarez,Grilli,2:36,D,36969,+
2,2,Tuesday Apr 7,boxscore,ATL,@,MIA,W,12,2,,2-0,1,up 0.5,Wood,Latos,,3:14,N,17483,++
3,3,Wednesday Apr 8,boxscore,ATL,@,MIA,W,2,0,,3-0,1,up 1.5,Cunniff,Koehler,Grilli,2:45,N,16127,+++
4,4,Friday Apr 10,boxscore,ATL,,NYM,W,5,3,,4-0,1,up 2.0,Johnson,Montero,Grilli,3:01,N,46279,++++
5,5,Saturday Apr 11,boxscore,ATL,,NYM,W,5,3,,5-0,1,up 2.0,Teheran,Gee,Johnson,2:25,N,36056,+++++
6,6,Sunday Apr 12,boxscore,ATL,,NYM,L,3,4,,5-1,1,up 2.0,Colon,Jaime,Familia,2:37,D,28192,-
7,7,Monday Apr 13,boxscore,ATL,,MIA,W,3,2,,6-1,1,up 2.0,Miller,Latos,Grilli,3:02,N,13417,+
8,8,Tuesday Apr 14,boxscore,ATL,,MIA,L,2,8,,6-2,1,up 1.0,Koehler,Cahill,,3:00,N,15765,-
9,9,Wednesday Apr 15,boxscore,ATL,,MIA,L,2,6,,6-3,1,Tied,Haren,Stults,,2:25,D,18342,--
10,10,Friday Apr 17,boxscore,ATL,@,TOR,W,8,7,,7-3,2,0.5,Martin,Cecil,Grilli,3:09,N,21397,+
11,11,Saturday Apr 18,boxscore,ATL,@,TOR,L-wo,5,6,10,7-4,2,1.5,Cecil,Marimon,,2:41,D,34743,-
12,12,Sunday Apr 19,boxscore,ATL,@,TOR,W,5,2,,8-4,2,1.5,Miller,Norris,Grilli,2:41,D,44794,+
13,13,Tuesday Apr 21,boxscore,ATL,@,NYM,L,1,7,,8-5,2,2.5,Niese,Cahill,,2:41,N,21033,-
14,14,Wednesday Apr 22,boxscore,ATL,@,NYM,L,2,3,,8-6,2,3.5,Carlyle,Johnson,Familia,2:34,N,20971,--
15,15,Thursday Apr 23,boxscore,ATL,@,NYM,L,3,6,,8-7,2,4.5,Colon,Teheran,Familia,3:18,D,23980,---
16,16,Friday Apr 24,boxscore,ATL,@,PHI,L-wo,0,1,,8-8,2,4.5,Giles,Johnson,,2:34,N,21164,----
17,17,Saturday Apr 25,boxscore,ATL,@,PHI,W,5,2,,9-8,2,4.5,Miller,Buchanan,Grilli,2:27,N,24748,+
18,18,Sunday Apr 26,boxscore,ATL,@,PHI,L,4,5,,9-9,2,4.5,Williams,Cahill,Papelbon,2:38,D,28702,-
19,19,Monday Apr 27,boxscore,ATL,,WSN,W,8,4,,10-9,2,4.5,Stults,Fister,,3:08,N,16658,+
20,20,Tuesday Apr 28,boxscore,ATL,,WSN,L,12,13,,10-10,2,4.5,Treinen,Grilli,Storen,3:26,N,14833,-
21,21,Wednesday Apr 29,boxscore,ATL,,WSN,L,4,13,,10-11,2,4.5,Zimmermann,Wood,,2:47,N,12595,--
22,22,Thursday Apr 30,boxscore,ATL,,CIN,L,1,5,,10-12,2,4.5,Leake,Miller,,2:22,N,15744,---
23,23,Friday May 1,boxscore,ATL,,CIN,W,4,3,,11-12,2,4.5,Foltynewicz,DeSclafani,Grilli,2:36,N,30153,+
24,24,Saturday May 2,boxscore,ATL,,CIN,L,4,8,,11-13,3,4.5,Marquis,Stults,,2:34,N,29515,-
25,25,Sunday May 3,boxscore,ATL,,CIN,W,5,0,,12-13,2,3.5,Teheran,Cueto,,2:31,D,30073,+
26,26,Monday May 4,boxscore,ATL,,PHI,L,2,5,,12-14,3,4.0,Harang,Wood,,3:08,N,17293,-
27,27,Tuesday May 5,boxscore,ATL,,PHI,W,9,0,,13-14,2,4.0,Miller,Billingsley,,2:23,N,14451,+
28,28,Wednesday May 6,boxscore,ATL,,PHI,W,7,5,,14-14,2,4.0,Foltynewicz,Williams,Grilli,3:07,N,17772,++
29,29,Friday May 8,boxscore,ATL,@,WSN,L,2,9,,14-15,3,4.0,Gonzalez,Stults,,2:21,N,31288,-
30,30,Saturday May 9,boxscore,ATL,@,WSN,L-wo,6,8,,14-16,4,5.0,Storen,Martin,,3:12,D,39193,--
31,31,Sunday May 10,boxscore,ATL,@,WSN,L,4,5,,14-17,4,6.0,Solis,Martin,Storen,2:51,D,31938,---
32,32,Monday May 11,boxscore,ATL,@,CIN,W,2,1,,15-17,3,5.0,Avilan,Chapman,Johnson,2:54,N,19881,+
33,33,Tuesday May 12,boxscore,ATL,@,CIN,L-wo,3,4,,15-18,3,5.0,Chapman,Grilli,,2:46,N,23780,-
34,34,Wednesday May 13,boxscore,ATL,@,CIN,L,1,5,,15-19,4,5.0,Iglesias,Stults,,2:06,N,17747,--
35,35,Friday May 15,boxscore,ATL,@,MIA,W,5,3,,16-19,3,3.5,Martin,Dunn,Grilli,3:10,N,18334,+
36,36,Saturday May 16,boxscore,ATL,@,MIA,W,5,3,,17-19,3,3.5,Wood,Latos,Grilli,2:59,D,18166,++
37,37,Sunday May 17,boxscore,ATL,@,MIA,W,6,0,,18-19,3,3.5,Miller,Alvarez,,2:15,D,23075,+++
38,38,Tuesday May 19,boxscore,ATL,,TBR,L,3,5,,18-20,3,4.0,Ramirez,Foltynewicz,Boxberger,2:43,N,20120,-
39,39,Wednesday May 20,boxscore,ATL,,TBR,W,2,1,,19-20,3,4.0,Cunniff,Odorizzi,Grilli,2:34,N,24549,+
40,40,Thursday May 21,boxscore,ATL,,MIL,W,10,1,,20-20,3,3.5,Teheran,Garza,,2:49,N,18239,++
41,41,Friday May 22,boxscore,ATL,,MIL,L,0,11,,20-21,3,4.5,Blazek,Stults,,2:52,N,25774,-
42,42,Saturday May 23,boxscore,ATL,,MIL,W-wo,3,2,11,21-21,3,3.5,Avilan,Kintzler,,3:48,D,33223,+
43,43,Sunday May 24,boxscore,ATL,,MIL,W,2,1,,22-21,3,3.5,Foltynewicz,Nelson,Grilli,2:47,D,30612,++
44,44,Monday May 25,boxscore,ATL,@,LAD,L,3,6,,22-22,3,4.5,Liberatore,Masset,Jansen,2:49,N,44680,-
