
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,CIN,,PIT,W,5,2,,1-0,1,Tied,Diaz,Watson,Chapman,2:30,D,43633,+
2,2,Wednesday Apr 8,boxscore,CIN,,PIT,W-wo,5,4,11,2-0,1,up 1.0,Hoover,Liz,,4:01,N,30859,++
3,3,Thursday Apr 9,boxscore,CIN,,PIT,W-wo,3,2,,3-0,1,up 1.5,Chapman,Scahill,,2:32,D,15616,+++
4,4,Friday Apr 10,boxscore,CIN,,STL,W,5,4,,4-0,1,up 2.5,Hoover,Walden,Chapman,2:26,N,30808,++++
5,5,Saturday Apr 11,boxscore,CIN,,STL,L,1,4,,4-1,1,up 1.5,Wacha,Cueto,Rosenthal,2:36,D,41525,-
6,6,Sunday Apr 12,boxscore,CIN,,STL,L,5,7,11,4-2,1,up 0.5,Villanueva,Gregg,,4:03,D,41446,--
7,7,Monday Apr 13,boxscore,CIN,@,CHC,L-wo,6,7,10,4-3,2,0.5,Rondon,Parra,,3:02,N,26390,---
8,8,Tuesday Apr 14,boxscore,CIN,@,CHC,W,3,2,,5-3,1,up 0.5,DeSclafani,Arrieta,Chapman,2:45,N,27525,+
9,9,Wednesday Apr 15,boxscore,CIN,@,CHC,L,0,5,,5-4,2,0.5,Wood,Marquis,,2:39,N,29205,-
10,10,Friday Apr 17,boxscore,CIN,@,STL,L,1,6,,5-5,3,1.5,Wacha,Cueto,Siegrist,2:21,N,46462,--
11,11,Saturday Apr 18,boxscore,CIN,@,STL,L,2,5,,5-6,3,2.5,Martinez,Bailey,Rosenthal,2:42,D,45906,---
12,12,Sunday Apr 19,boxscore,CIN,@,STL,L,1,2,,5-7,4,3.5,Wainwright,Leake,Walden,2:02,N,40742,----
13,13,Monday Apr 20,boxscore,CIN,@,MIL,W,6,1,,6-7,3,3.0,DeSclafani,Peralta,,2:23,N,26660,+
14,14,Tuesday Apr 21,boxscore,CIN,@,MIL,W,16,10,,7-7,3,2.0,Marquis,Fiers,,3:22,N,27293,++
15,15,Wednesday Apr 22,boxscore,CIN,@,MIL,W,2,1,,8-7,3,2.0,Cueto,Rodriguez,Chapman,2:28,N,30452,+++
16,16,Thursday Apr 23,boxscore,CIN,@,MIL,L,2,4,,8-8,3,3.0,Lohse,Gregg,Rodriguez,2:28,D,27795,-
17,17,Friday Apr 24,boxscore,CIN,,CHC,L,3,7,11,8-9,4,4.0,Motte,Badenhop,,3:48,N,39891,--
18,18,Sunday Apr 26,boxscore,CIN,,CHC,L,2,5,,8-10,4,4.5,Arrieta,DeSclafani,Rondon,2:46,D,38954,---
19,19,Monday Apr 27,boxscore,CIN,,MIL,W,9,6,,9-10,4,3.5,Marquis,Nelson,,3:02,N,17167,+
20,20,Tuesday Apr 28,boxscore,CIN,,MIL,W,4,2,,10-10,4,3.5,Cueto,Lohse,Chapman,2:11,N,19238,++
21,21,Wednesday Apr 29,boxscore,CIN,,MIL,L,3,8,,10-11,4,4.5,Garza,Lorenzen,,2:58,D,23012,-
22,22,Thursday Apr 30,boxscore,CIN,@,ATL,W,5,1,,11-11,4,4.5,Leake,Miller,,2:22,N,15744,+
23,23,Friday May 1,boxscore,CIN,@,ATL,L,3,4,,11-12,4,5.5,Foltynewicz,DeSclafani,Grilli,2:36,N,30153,-
24,24,Saturday May 2,boxscore,CIN,@,ATL,W,8,4,,12-12,3,5.5,Marquis,Stults,,2:34,N,29515,+
25,25,Sunday May 3,boxscore,CIN,@,ATL,L,0,5,,12-13,3,6.5,Teheran,Cueto,,2:31,D,30073,-
26,26,Tuesday May 5,boxscore,CIN,@,PIT,W,7,1,,13-13,3,7.0,Lorenzen,Locke,,2:50,N,16822,+
27,27,Wednesday May 6,boxscore,CIN,@,PIT,W,3,0,,14-13,3,6.0,Leake,Cole,Chapman,2:35,N,16527,++
28,28,Thursday May 7,boxscore,CIN,@,PIT,L,2,7,,14-14,3,7.0,Burnett,DeSclafani,,2:56,N,27302,-
29,29,Saturday May 9 (1),boxscore,CIN,@,CHW,W,10,4,,15-14,3,7.0,Cueto,Carroll,,3:33,D,,+
30,30,Saturday May 9 (2),boxscore,CIN,@,CHW,L,2,8,,15-15,3,7.0,Rodon,Marquis,,2:53,N,27980,-
31,31,Sunday May 10,boxscore,CIN,@,CHW,L-wo,3,4,,15-16,3,7.0,Robertson,Chapman,,3:10,D,20123,--
32,32,Monday May 11,boxscore,CIN,,ATL,L,1,2,,15-17,4,7.5,Avilan,Chapman,Johnson,2:54,N,19881,---
33,33,Tuesday May 12,boxscore,CIN,,ATL,W-wo,4,3,,16-17,4,7.5,Chapman,Grilli,,2:46,N,23780,+
34,34,Wednesday May 13,boxscore,CIN,,ATL,W,5,1,,17-17,3,6.5,Iglesias,Stults,,2:06,N,17747,++
35,35,Thursday May 14,boxscore,CIN,,SFG,W,4,3,,18-17,3,6.5,Diaz,Romo,Chapman,2:58,N,21792,+++
36,36,Friday May 15,boxscore,CIN,,SFG,L,2,10,,18-18,3,6.5,Bumgarner,Marquis,,2:53,N,39867,-
37,37,Saturday May 16,boxscore,CIN,,SFG,L,2,11,,18-19,3,6.5,Vogelsong,Leake,,2:53,N,40889,--
38,38,Sunday May 17,boxscore,CIN,,SFG,L,8,9,,18-20,3,7.5,Petit,DeSclafani,Casilla,3:25,D,39209,---
39,39,Tuesday May 19,boxscore,CIN,@,KCR,L,0,3,,18-21,3,8.0,Ventura,Cueto,Davis,2:12,N,29769,----
40,40,Wednesday May 20,boxscore,CIN,@,KCR,L,1,7,,18-22,3,9.0,Guthrie,Marquis,,2:44,N,30450,-----
41,41,Friday May 22,boxscore,CIN,@,CLE,L,3,7,,18-23,4,8.5,Carrasco,Leake,,2:56,N,23617,------
42,42,Saturday May 23,boxscore,CIN,@,CLE,L,1,2,,18-24,4,8.5,Kluber,Cingrani,Allen,2:33,D,27315,-------
43,43,Sunday May 24,boxscore,CIN,@,CLE,L,2,5,,18-25,4,9.5,Bauer,Iglesias,,3:07,D,23882,--------
44,44,Monday May 25,boxscore,CIN,,COL,L,4,5,,18-26,4,10.5,Betancourt,Chapman,Axford,2:59,D,20516,---------
45,45,Tuesday May 26,boxscore,CIN,,COL,W-wo,2,1,,19-26,4,10.5,Chapman,Brown,,2:39,N,22523,+
46,46,Wednesday May 27,boxscore,CIN,,COL,L,4,6,,19-27,4,11.5,Kendrick,Leake,Axford,2:46,D,23917,-
47,47,Friday May 29,boxscore,CIN,,WSN,W,5,2,,20-27,4,11.5,DeSclafani,Jordan,Chapman,3:02,N,28877,+
48,48,Saturday May 30,boxscore,CIN,,WSN,W,8,5,,21-27,4,10.5,Hoover,Janssen,Chapman,3:08,D,36294,++
49,49,Sunday May 31,boxscore,CIN,,WSN,W,8,2,,22-27,4,10.5,Hoover,Barrett,,2:45,D,31874,+++
50,50,Tuesday Jun 2,boxscore,CIN,@,PHI,L-wo,4,5,,22-28,4,11.0,Papelbon,Cingrani,,2:52,N,20209,-
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,51,Wednesday Jun 3,boxscore,CIN,@,PHI,L-wo,4,5,11,22-29,4,12.0,Garcia,Mattheus,,3:31,N,21253,--
52,52,Thursday Jun 4,boxscore,CIN,@,PHI,W,6,4,,23-29,4,12.0,DeSclafani,Harang,Chapman,2:41,N,21057,+
53,53,Friday Jun 5,boxscore,CIN,,SDP,L,2,6,,23-30,4,13.0,Ross,Moscot,,2:51,N,33381,-
54,54,Saturday Jun 6,boxscore,CIN,,SDP,L,7,9,,23-31,4,13.0,Maurer,Diaz,Kimbrel,3:12,D,40946,--
55,55,Sunday Jun 7,boxscore,CIN,,SDP,W,4,0,,24-31,4,13.0,Cueto,Despaigne,,2:22,D,27501,+
56,56,Monday Jun 8,boxscore,CIN,,PHI,W,6,4,,25-31,4,12.0,Leake,Hamels,Chapman,2:55,N,30900,++
