
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,LAD,,SDP,W,6,3,,1-0,1,Tied,Peralta,Kelley,Hatcher,3:04,D,53518,+
2,2,Tuesday Apr 7,boxscore,LAD,,SDP,L,3,7,,1-1,2,1.0,Benoit,Hatcher,,3:31,N,40356,-
3,3,Wednesday Apr 8,boxscore,LAD,,SDP,W,7,4,,2-1,2,1.0,McCarthy,Cashner,Peralta,3:16,N,52204,+
4,4,Friday Apr 10,boxscore,LAD,@,ARI,L-wo,3,4,10,2-2,3,2.0,Perez,Howell,,3:01,N,27404,-
5,5,Saturday Apr 11,boxscore,LAD,@,ARI,L,0,6,,2-3,5,2.0,Bradley,Kershaw,,2:36,N,37636,--
6,6,Sunday Apr 12,boxscore,LAD,@,ARI,W,7,4,,3-3,3,1.0,Greinke,Collmenter,Peralta,3:27,D,29678,+
7,7,Monday Apr 13,boxscore,LAD,,SEA,W-wo,6,5,10,4-3,2,1.0,Garcia,Leone,,3:04,N,42202,++
8,8,Tuesday Apr 14,boxscore,LAD,,SEA,W-wo,6,5,,5-3,2,1.0,Garcia,Rodney,,3:40,N,43115,+++
9,9,Wednesday Apr 15,boxscore,LAD,,SEA,W,5,2,,6-3,2,1.0,Anderson,Walker,,2:53,N,51287,++++
10,10,Friday Apr 17,boxscore,LAD,,COL,W,7,3,,7-3,1,Tied,Kershaw,Kendrick,,3:18,N,48950,+++++
11,11,Saturday Apr 18,boxscore,LAD,,COL,W,6,3,,8-3,1,up 1.0,Greinke,Lyles,Peralta,2:55,N,45912,++++++
12,12,Sunday Apr 19,boxscore,LAD,,COL,W,7,0,,9-3,1,up 1.5,McCarthy,Butler,,2:55,D,44666,+++++++
13,13,Tuesday Apr 21,boxscore,LAD,@,SFG,L,2,6,,9-4,1,Tied,Lincecum,Anderson,Casilla,3:09,N,41386,-
14,14,Wednesday Apr 22,boxscore,LAD,@,SFG,L-wo,2,3,,9-5,1,Tied,Casilla,Hatcher,,3:16,N,42259,--
15,15,Thursday Apr 23,boxscore,LAD,@,SFG,L-wo,2,3,10,9-6,1,Tied,Casilla,Nicasio,,3:23,D,41240,---
16,16,Friday Apr 24,boxscore,LAD,@,SDP,W,3,0,,10-6,1,up 0.5,Greinke,Cashner,Garcia,3:04,N,43055,+
17,17,Saturday Apr 25,boxscore,LAD,@,SDP,W,11,8,,11-6,1,up 1.5,McCarthy,Kennedy,,3:36,N,44454,++
18,18,Sunday Apr 26,boxscore,LAD,@,SDP,L,1,3,,11-7,1,up 1.0,Morrow,Baker,Kimbrel,2:30,D,43256,-
19,19,Monday Apr 27,boxscore,LAD,,SFG,W,8,3,,12-7,1,up 1.0,Frias,Lincecum,,2:58,N,46704,+
20,20,Tuesday Apr 28,boxscore,LAD,,SFG,L,1,2,,12-8,1,up 1.0,Bumgarner,Kershaw,Casilla,2:50,N,50161,-
21,21,Wednesday Apr 29,boxscore,LAD,,SFG,W,7,3,,13-8,1,up 2.0,Greinke,Vogelsong,,2:54,N,53285,+
22,22,Friday May 1,boxscore,LAD,,ARI,W,8,0,,14-8,1,up 3.0,Frias,De La Rosa,,2:47,N,50164,++
23,23,Saturday May 2,boxscore,LAD,,ARI,W,6,4,,15-8,1,up 3.0,Nicasio,Marshall,Hatcher,3:14,N,43617,+++
24,24,Sunday May 3,boxscore,LAD,,ARI,W-wo,1,0,13,16-8,1,up 3.0,Howell,Marshall,,4:02,D,48136,++++
25,25,Monday May 4,boxscore,LAD,@,MIL,L,3,4,,16-9,1,up 3.0,Blazek,Hatcher,Rodriguez,2:51,N,23374,-
26,26,Tuesday May 5,boxscore,LAD,@,MIL,W,8,2,,17-9,1,up 3.5,Greinke,Garza,,3:12,N,23356,+
27,27,Wednesday May 6,boxscore,LAD,@,MIL,L,3,6,,17-10,1,up 3.0,Peralta,Wieland,Rodriguez,2:47,N,22708,-
28,28,Thursday May 7,boxscore,LAD,@,MIL,W,14,4,,18-10,1,up 4.0,Frias,Fiers,,3:16,D,28505,+
29,29,Friday May 8,boxscore,LAD,@,COL,W,2,1,6,19-10,1,up 4.0,Anderson,Butler,,1:41,N,32974,++
30,30,Sunday May 10,boxscore,LAD,@,COL,W,9,5,,20-10,1,up 4.5,Baez,Oberg,,3:36,D,30710,+++
31,31,Monday May 11,boxscore,LAD,,MIA,W-wo,5,3,,21-10,1,up 5.0,Howell,Cishek,,3:02,N,44941,++++
32,32,Tuesday May 12,boxscore,LAD,,MIA,W,11,1,,22-10,1,up 5.5,Bolsinger,Haren,,3:03,N,49628,+++++
33,33,Wednesday May 13,boxscore,LAD,,MIA,L,4,5,,22-11,1,up 5.0,Dyson,Liberatore,Ramos,3:24,D,38316,-
