
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,MIA,,ATL,L,1,2,,0-1,3,1.0,Teheran,Alvarez,Grilli,2:36,D,36969,-
2,2,Tuesday Apr 7,boxscore,MIA,,ATL,L,2,12,,0-2,5,2.0,Wood,Latos,,3:14,N,17483,--
3,3,Wednesday Apr 8,boxscore,MIA,,ATL,L,0,2,,0-3,5,3.0,Cunniff,Koehler,Grilli,2:45,N,16127,---
4,4,Friday Apr 10,boxscore,MIA,,TBR,W-wo,10,9,10,1-3,4,3.0,Morris,Boxberger,,3:36,N,17375,+
5,5,Saturday Apr 11,boxscore,MIA,,TBR,L,0,2,,1-4,4,4.0,Archer,Cosart,Boxberger,2:32,D,17830,-
6,6,Sunday Apr 12,boxscore,MIA,,TBR,L,5,8,,1-5,5,4.0,Karns,Alvarez,Frieri,3:16,D,20199,--
7,7,Monday Apr 13,boxscore,MIA,@,ATL,L,2,3,,1-6,5,5.0,Miller,Latos,Grilli,3:02,N,13417,---
8,8,Tuesday Apr 14,boxscore,MIA,@,ATL,W,8,2,,2-6,4,4.0,Koehler,Cahill,,3:00,N,15765,+
9,9,Wednesday Apr 15,boxscore,MIA,@,ATL,W,6,2,,3-6,3,3.0,Haren,Stults,,2:25,D,18342,++
10,10,Thursday Apr 16,boxscore,MIA,@,NYM,L,5,7,,3-7,4,4.0,Blevins,Dunn,Familia,3:01,N,20556,-
11,11,Friday Apr 17,boxscore,MIA,@,NYM,L,1,4,,3-8,4,5.0,Colon,Hand,Familia,2:38,N,38753,--
12,12,Saturday Apr 18,boxscore,MIA,@,NYM,L,4,5,,3-9,5,6.0,deGrom,Latos,Torres,2:51,N,41844,---
13,13,Sunday Apr 19,boxscore,MIA,@,NYM,L,6,7,,3-10,5,7.0,Harvey,Koehler,Familia,2:49,D,41234,----
14,14,Tuesday Apr 21,boxscore,MIA,@,PHI,L,3,7,,3-11,5,8.0,Williams,Haren,,2:29,N,21993,-----
15,15,Wednesday Apr 22,boxscore,MIA,@,PHI,W,6,1,,4-11,5,8.0,Cosart,Garcia,,2:55,N,23417,+
16,16,Thursday Apr 23,boxscore,MIA,@,PHI,W,9,1,,5-11,4,8.0,Phelps,McGowan,,2:52,D,17097,++
17,17,Friday Apr 24,boxscore,MIA,,WSN,W,3,2,,6-11,4,7.0,Morris,Roark,Cishek,2:32,N,16259,+++
18,18,Saturday Apr 25,boxscore,MIA,,WSN,W,8,0,,7-11,3,7.0,Koehler,Strasburg,,2:35,D,18129,++++
19,19,Sunday Apr 26,boxscore,MIA,,WSN,W,6,2,,8-11,3,6.0,Haren,Gonzalez,,2:40,D,21433,+++++
20,20,Monday Apr 27,boxscore,MIA,,NYM,L,1,3,,8-12,3,7.0,Torres,Cishek,Familia,1:58,N,18547,-
21,21,Tuesday Apr 28,boxscore,MIA,,NYM,W,4,3,,9-12,3,6.0,Morris,Torres,Cishek,2:46,N,17255,+
22,22,Wednesday Apr 29,boxscore,MIA,,NYM,W,7,3,,10-12,3,5.0,Dyson,Colon,,2:54,N,17076,++
23,23,Friday May 1,boxscore,MIA,,PHI,W-wo,4,3,,11-12,2,4.5,Cishek,Giles,,2:57,N,18511,+++
24,24,Saturday May 2,boxscore,MIA,,PHI,W,7,0,,12-12,2,3.5,Haren,Hamels,,2:38,D,33348,++++
25,25,Sunday May 3,boxscore,MIA,,PHI,L,2,6,,12-13,2,3.5,Gonzalez,Cosart,,2:45,D,20461,-
26,26,Monday May 4,boxscore,MIA,@,WSN,L,4,6,,12-14,3,4.0,Grace,Morris,Roark,2:42,N,24731,--
27,27,Tuesday May 5,boxscore,MIA,@,WSN,W,2,1,,13-14,2,4.0,Latos,Strasburg,Cishek,3:07,N,25332,+
28,28,Wednesday May 6,boxscore,MIA,@,WSN,L,5,7,,13-15,4,5.0,Scherzer,Koehler,Storen,2:40,D,31417,-
29,29,Thursday May 7,boxscore,MIA,@,SFG,W,7,2,,14-15,3,4.5,Haren,Hudson,,2:31,N,41367,+
30,30,Friday May 8,boxscore,MIA,@,SFG,L,0,6,,14-16,4,4.5,Lincecum,Cosart,Petit,2:47,N,41413,-
31,31,Saturday May 9,boxscore,MIA,@,SFG,W,6,2,,15-16,3,4.5,Phelps,Bumgarner,,3:24,N,42285,+
32,32,Sunday May 10,boxscore,MIA,@,SFG,L-wo,2,3,,15-17,3,5.5,Casilla,Cishek,,3:02,D,41889,-
33,33,Monday May 11,boxscore,MIA,@,LAD,L-wo,3,5,,15-18,4,5.5,Howell,Cishek,,3:02,N,44941,--
34,34,Tuesday May 12,boxscore,MIA,@,LAD,L,1,11,,15-19,4,5.5,Bolsinger,Haren,,3:03,N,49628,---
35,35,Wednesday May 13,boxscore,MIA,@,LAD,W,5,4,,16-19,3,4.5,Dyson,Liberatore,Ramos,3:24,D,38316,+
36,36,Friday May 15,boxscore,MIA,,ATL,L,3,5,,16-20,4,4.0,Martin,Dunn,Grilli,3:10,N,18334,-
37,37,Saturday May 16,boxscore,MIA,,ATL,L,3,5,,16-21,4,5.0,Wood,Latos,Grilli,2:59,D,18166,--
38,38,Sunday May 17,boxscore,MIA,,ATL,L,0,6,,16-22,4,6.0,Miller,Alvarez,,2:15,D,23075,---
