
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,PHI,,BOS,L,0,8,,0-1,3,1.0,Buchholz,Hamels,,3:01,D,45549,-
2,2,Wednesday Apr 8,boxscore,PHI,,BOS,W,4,2,,1-1,2,1.5,Harang,Porcello,Papelbon,2:54,N,26465,+
3,3,Thursday Apr 9,boxscore,PHI,,BOS,L,2,6,,1-2,3,2.0,Masterson,Buchanan,,3:08,N,23418,-
4,4,Friday Apr 10,boxscore,PHI,,WSN,W,4,1,,2-2,2,2.0,Garcia,Gonzalez,Papelbon,2:30,N,19047,+
5,5,Saturday Apr 11,boxscore,PHI,,WSN,W-wo,3,2,10,3-2,2,2.0,McGowan,Roark,,3:25,N,23740,++
6,6,Sunday Apr 12,boxscore,PHI,,WSN,L,3,4,10,3-3,2,2.0,Barrett,Diekman,Storen,3:19,D,30094,-
7,7,Monday Apr 13,boxscore,PHI,@,NYM,L,0,2,,3-4,3,3.0,deGrom,Harang,Familia,2:53,D,43947,--
8,8,Tuesday Apr 14,boxscore,PHI,@,NYM,L,5,6,,3-5,3,3.0,Harvey,Buchanan,Familia,3:12,N,39489,---
9,9,Wednesday Apr 15,boxscore,PHI,@,NYM,L,1,6,,3-6,3,3.0,Niese,Williams,,2:36,N,21052,----
10,10,Thursday Apr 16,boxscore,PHI,@,WSN,L,2,5,,3-7,4,4.0,Fister,Hamels,Storen,2:16,N,24768,-----
11,11,Friday Apr 17,boxscore,PHI,@,WSN,L,2,7,,3-8,4,5.0,Scherzer,O'Sullivan,,2:38,N,31608,------
12,12,Saturday Apr 18,boxscore,PHI,@,WSN,W,5,3,,4-8,4,5.0,Harang,Zimmermann,Papelbon,2:56,D,35330,+
13,13,Sunday Apr 19,boxscore,PHI,@,WSN,L,1,4,,4-9,4,6.0,Strasburg,Buchanan,Storen,2:40,D,36631,-
14,14,Tuesday Apr 21,boxscore,PHI,,MIA,W,7,3,,5-9,4,6.0,Williams,Haren,,2:29,N,21993,+
15,15,Wednesday Apr 22,boxscore,PHI,,MIA,L,1,6,,5-10,4,7.0,Cosart,Garcia,,2:55,N,23417,-
16,16,Thursday Apr 23,boxscore,PHI,,MIA,L,1,9,,5-11,4,8.0,Phelps,McGowan,,2:52,D,17097,--
17,17,Friday Apr 24,boxscore,PHI,,ATL,W-wo,1,0,,6-11,4,7.0,Giles,Johnson,,2:34,N,21164,+
18,18,Saturday Apr 25,boxscore,PHI,,ATL,L,2,5,,6-12,5,8.0,Miller,Buchanan,Grilli,2:27,N,24748,-
19,19,Sunday Apr 26,boxscore,PHI,,ATL,W,5,4,,7-12,4,7.0,Williams,Cahill,Papelbon,2:38,D,28702,+
20,20,Monday Apr 27,boxscore,PHI,@,STL,W,4,1,,8-12,3,7.0,Hamels,Lackey,Papelbon,2:32,N,40052,++
21,21,Tuesday Apr 28,boxscore,PHI,@,STL,L,5,11,,8-13,4,7.0,Wacha,Gonzalez,,2:58,N,40143,-
22,22,Wednesday Apr 29,boxscore,PHI,@,STL,L,2,5,,8-14,5,7.0,Martinez,Harang,Rosenthal,2:38,N,40399,--
23,23,Thursday Apr 30,boxscore,PHI,@,STL,L,3,9,,8-15,5,7.0,Villanueva,Buchanan,,2:55,D,40715,---
24,24,Friday May 1,boxscore,PHI,@,MIA,L-wo,3,4,,8-16,5,8.0,Cishek,Giles,,2:57,N,18511,----
25,25,Saturday May 2,boxscore,PHI,@,MIA,L,0,7,,8-17,5,8.0,Haren,Hamels,,2:38,D,33348,-----
26,26,Sunday May 3,boxscore,PHI,@,MIA,W,6,2,,9-17,5,7.0,Gonzalez,Cosart,,2:45,D,20461,+
27,27,Monday May 4,boxscore,PHI,@,ATL,W,5,2,,10-17,5,6.5,Harang,Wood,,3:08,N,17293,++
28,28,Tuesday May 5,boxscore,PHI,@,ATL,L,0,9,,10-18,5,7.5,Miller,Billingsley,,2:23,N,14451,-
29,29,Wednesday May 6,boxscore,PHI,@,ATL,L,5,7,,10-19,5,8.5,Foltynewicz,Williams,Grilli,3:07,N,17772,--
30,30,Friday May 8,boxscore,PHI,,NYM,W,3,1,,11-19,5,7.5,Hamels,Harvey,Papelbon,2:27,N,32734,+
31,31,Saturday May 9,boxscore,PHI,,NYM,L,2,3,,11-20,5,8.5,Niese,Harang,Familia,2:44,N,29373,-
32,32,Sunday May 10,boxscore,PHI,,NYM,L,4,7,,11-21,5,9.5,Colon,Billingsley,Familia,2:57,D,27935,--
33,33,Monday May 11,boxscore,PHI,,PIT,L,3,4,,11-22,5,9.5,Cole,Williams,Melancon,2:55,N,21358,---
34,34,Tuesday May 12,boxscore,PHI,,PIT,L,2,7,,11-23,5,9.5,Burnett,O'Sullivan,,2:49,N,20393,----
35,35,Wednesday May 13,boxscore,PHI,,PIT,W,3,2,,12-23,5,8.5,Hamels,Liriano,Papelbon,2:37,N,29576,+
36,36,Thursday May 14,boxscore,PHI,,PIT,W,4,2,,13-23,5,7.5,Harang,Worley,Papelbon,2:40,D,29205,++
37,37,Friday May 15,boxscore,PHI,,ARI,W,4,3,,14-23,5,6.5,Araujo,Perez,Garcia,3:05,N,21383,+++
38,38,Saturday May 16,boxscore,PHI,,ARI,W,7,5,,15-23,5,6.5,Williams,Bradley,Papelbon,3:14,N,33649,++++
39,39,Sunday May 17,boxscore,PHI,,ARI,W,6,0,,16-23,5,6.5,O'Sullivan,Collmenter,,2:52,D,22123,+++++
40,40,Monday May 18,boxscore,PHI,@,COL,W,4,3,,17-23,4,6.5,Hamels,Lyles,Papelbon,3:14,N,24061,++++++
41,41,Tuesday May 19,boxscore,PHI,@,COL,L,5,6,,17-24,4,6.5,Oberg,De Fratus,Axford,2:54,N,21249,-
