
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,PIT,@,CIN,L,2,5,,0-1,3,1.0,Diaz,Watson,Chapman,2:30,D,43633,-
2,2,Wednesday Apr 8,boxscore,PIT,@,CIN,L-wo,4,5,11,0-2,4,2.0,Hoover,Liz,,4:01,N,30859,--
3,3,Thursday Apr 9,boxscore,PIT,@,CIN,L-wo,2,3,,0-3,4,3.0,Chapman,Scahill,,2:32,D,15616,---
4,4,Friday Apr 10,boxscore,PIT,@,MIL,W,6,2,,1-3,4,3.0,Locke,Fiers,,3:13,N,27373,+
5,5,Saturday Apr 11,boxscore,PIT,@,MIL,L,0,6,,1-4,4,3.0,Nelson,Worley,,2:26,N,41108,-
6,6,Sunday Apr 12,boxscore,PIT,@,MIL,W,10,2,,2-4,4,2.0,Sadler,Lohse,,3:00,D,39017,+
7,7,Monday Apr 13,boxscore,PIT,,DET,W,5,4,,3-4,4,1.5,Cole,Sanchez,,2:31,D,39933,++
8,8,Tuesday Apr 14,boxscore,PIT,,DET,L,0,2,,3-5,4,2.0,Greene,Burnett,Soria,2:50,N,31755,-
9,9,Wednesday Apr 15,boxscore,PIT,,DET,L,0,1,,3-6,4,2.5,Simon,Liriano,Soria,2:52,N,19509,--
10,10,Friday Apr 17,boxscore,PIT,,MIL,W,6,3,,4-6,4,2.5,Worley,Nelson,Melancon,2:57,N,25664,+
11,11,Saturday Apr 18,boxscore,PIT,,MIL,W,6,2,,5-6,3,2.5,Locke,Lohse,,2:30,N,33961,++
12,12,Sunday Apr 19,boxscore,PIT,,MIL,W,5,2,,6-6,3,2.5,Cole,Garza,Melancon,2:39,D,28129,+++
13,13,Monday Apr 20,boxscore,PIT,,CHC,L,2,5,,6-7,3,3.0,Arrieta,Caminero,,3:13,N,11777,-
14,14,Tuesday Apr 21,boxscore,PIT,,CHC,L,8,9,,6-8,4,3.0,Jackson,Melancon,Rondon,3:18,N,13680,--
15,15,Wednesday Apr 22,boxscore,PIT,,CHC,W,4,3,,7-8,4,3.0,Worley,Hammel,Watson,3:04,N,15101,+
16,16,Thursday Apr 23,boxscore,PIT,,CHC,W,5,4,,8-8,3,3.0,Liz,Schlitter,Melancon,3:06,D,22224,++
17,17,Friday Apr 24,boxscore,PIT,@,ARI,W,4,1,,9-8,3,3.0,Cole,Collmenter,Melancon,2:41,N,24427,+++
