
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 6,boxscore,WSN,,NYM,L,1,3,,0-1,3,1.0,Colon,Scherzer,Carlyle,2:35,D,42295,-
2,2,Wednesday Apr 8,boxscore,WSN,,NYM,W,2,1,,1-1,2,1.5,Zimmermann,deGrom,Storen,2:21,N,25999,+
3,3,Thursday Apr 9,boxscore,WSN,,NYM,L,3,6,,1-2,3,2.0,Harvey,Strasburg,,2:54,D,25327,-
4,4,Friday Apr 10,boxscore,WSN,@,PHI,L,1,4,,1-3,4,3.0,Garcia,Gonzalez,Papelbon,2:30,N,19047,--
5,5,Saturday Apr 11,boxscore,WSN,@,PHI,L-wo,2,3,10,1-4,4,4.0,McGowan,Roark,,3:25,N,23740,---
6,6,Sunday Apr 12,boxscore,WSN,@,PHI,W,4,3,10,2-4,4,3.0,Barrett,Diekman,Storen,3:19,D,30094,+
7,7,Monday Apr 13,boxscore,WSN,@,BOS,L,4,9,,2-5,4,4.0,Porcello,Zimmermann,,3:01,D,37203,-
8,8,Tuesday Apr 14,boxscore,WSN,@,BOS,L,7,8,,2-6,4,4.0,Mujica,Treinen,Uehara,3:23,N,35258,--
9,9,Wednesday Apr 15,boxscore,WSN,@,BOS,W,10,5,,3-6,3,3.0,Gonzalez,Miley,,3:08,D,33493,+
10,10,Thursday Apr 16,boxscore,WSN,,PHI,W,5,2,,4-6,3,3.0,Fister,Hamels,Storen,2:16,N,24768,++
11,11,Friday Apr 17,boxscore,WSN,,PHI,W,7,2,,5-6,3,3.0,Scherzer,O'Sullivan,,2:38,N,31608,+++
12,12,Saturday Apr 18,boxscore,WSN,,PHI,L,3,5,,5-7,3,4.0,Harang,Zimmermann,Papelbon,2:56,D,35330,-
13,13,Sunday Apr 19,boxscore,WSN,,PHI,W,4,1,,6-7,3,4.0,Strasburg,Buchanan,Storen,2:40,D,36631,+
14,14,Tuesday Apr 21,boxscore,WSN,,STL,W-wo,2,1,10,7-7,3,4.0,Barrett,Villanueva,,3:43,N,27021,++
15,15,Wednesday Apr 22,boxscore,WSN,,STL,L,5,7,,7-8,3,5.0,Siegrist,Treinen,Rosenthal,2:51,N,25771,-
16,16,Thursday Apr 23,boxscore,WSN,,STL,L,1,4,,7-9,3,6.0,Wacha,Scherzer,Rosenthal,2:31,D,26990,--
17,17,Friday Apr 24,boxscore,WSN,@,MIA,L,2,3,,7-10,3,6.0,Morris,Roark,Cishek,2:32,N,16259,---
