
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Sunday Apr 5,boxscore,CHC,,STL,L,0,3,,0-1,5,1.0,Wainwright,Lester,Rosenthal,3:04,N,35055,-
2,2,Wednesday Apr 8,boxscore,CHC,,STL,W,2,0,,1-1,2,1.0,Arrieta,Lynn,Rondon,2:23,D,26814,+
3,3,Friday Apr 10,boxscore,CHC,@,COL,L,1,5,,1-2,2,2.5,Bergman,Wood,,3:01,D,49303,-
4,4,Saturday Apr 11,boxscore,CHC,@,COL,W,9,5,,2-2,2,1.5,Hammel,Kendrick,,3:19,N,43812,+
5,5,Sunday Apr 12,boxscore,CHC,@,COL,W,6,5,,3-2,2,0.5,Ramirez,Hawkins,Rondon,3:05,D,41363,++
6,6,Monday Apr 13,boxscore,CHC,,CIN,W-wo,7,6,10,4-2,1,up 0.5,Rondon,Parra,,3:02,N,26390,+++
7,7,Tuesday Apr 14,boxscore,CHC,,CIN,L,2,3,,4-3,2,0.5,DeSclafani,Arrieta,Chapman,2:45,N,27525,-
8,8,Wednesday Apr 15,boxscore,CHC,,CIN,W,5,0,,5-3,1,up 0.5,Wood,Marquis,,2:39,N,29205,+
9,9,Friday Apr 17,boxscore,CHC,,SDP,L,4,5,,5-4,2,1.0,Shields,Schlitter,Kimbrel,2:57,D,32138,-
10,10,Saturday Apr 18,boxscore,CHC,,SDP,W-wo,7,6,11,6-4,2,1.0,Rosscup,Kimbrel,,3:49,D,33958,+
11,11,Sunday Apr 19,boxscore,CHC,,SDP,L,2,5,,6-5,2,2.0,Cashner,Lester,Benoit,2:51,D,29113,-
12,12,Monday Apr 20,boxscore,CHC,@,PIT,W,5,2,,7-5,2,1.5,Arrieta,Caminero,,3:13,N,11777,+
13,13,Tuesday Apr 21,boxscore,CHC,@,PIT,W,9,8,,8-5,2,0.5,Jackson,Melancon,Rondon,3:18,N,13680,++
14,14,Wednesday Apr 22,boxscore,CHC,@,PIT,L,3,4,,8-6,2,1.5,Worley,Hammel,Watson,3:04,N,15101,-
15,15,Thursday Apr 23,boxscore,CHC,@,PIT,L,4,5,,8-7,2,2.5,Liz,Schlitter,Melancon,3:06,D,22224,--
