
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Sunday Apr 5,boxscore,STL,@,CHC,W,3,0,,1-0,1,up 0.5,Wainwright,Lester,Rosenthal,3:04,N,35055,+
2,2,Wednesday Apr 8,boxscore,STL,@,CHC,L,0,2,,1-1,2,1.0,Arrieta,Lynn,Rondon,2:23,D,26814,-
3,3,Friday Apr 10,boxscore,STL,@,CIN,L,4,5,,1-2,2,2.5,Hoover,Walden,Chapman,2:26,N,30808,--
4,4,Saturday Apr 11,boxscore,STL,@,CIN,W,4,1,,2-2,2,1.5,Wacha,Cueto,Rosenthal,2:36,D,41525,+
5,5,Sunday Apr 12,boxscore,STL,@,CIN,W,7,5,11,3-2,2,0.5,Villanueva,Gregg,,4:03,D,41446,++
6,6,Monday Apr 13,boxscore,STL,,MIL,L,4,5,,3-3,3,1.0,Garza,Wainwright,Rodriguez,3:01,D,47875,-
7,7,Wednesday Apr 15,boxscore,STL,,MIL,W,4,2,,4-3,2,0.5,Lynn,Peralta,Rosenthal,2:50,N,40826,+
8,8,Thursday Apr 16,boxscore,STL,,MIL,W,4,0,,5-3,1,Tied,Lackey,Fiers,,2:54,D,40079,++
9,9,Friday Apr 17,boxscore,STL,,CIN,W,6,1,,6-3,1,up 1.0,Wacha,Cueto,Siegrist,2:21,N,46462,+++
10,10,Saturday Apr 18,boxscore,STL,,CIN,W,5,2,,7-3,1,up 1.0,Martinez,Bailey,Rosenthal,2:42,D,45906,++++
11,11,Sunday Apr 19,boxscore,STL,,CIN,W,2,1,,8-3,1,up 2.0,Wainwright,Leake,Walden,2:02,N,40742,+++++
12,12,Tuesday Apr 21,boxscore,STL,@,WSN,L-wo,1,2,10,8-4,1,up 0.5,Barrett,Villanueva,,3:43,N,27021,-
13,13,Wednesday Apr 22,boxscore,STL,@,WSN,W,7,5,,9-4,1,up 1.5,Siegrist,Treinen,Rosenthal,2:51,N,25771,+
14,14,Thursday Apr 23,boxscore,STL,@,WSN,W,4,1,,10-4,1,up 2.5,Wacha,Scherzer,Rosenthal,2:31,D,26990,++
15,15,Friday Apr 24,boxscore,STL,@,MIL,W,3,0,,11-4,1,up 2.5,Martinez,Garza,Rosenthal,2:42,N,26286,+++
16,16,Saturday Apr 25,boxscore,STL,@,MIL,W,5,3,,12-4,1,up 3.0,Belisle,Peralta,Maness,3:01,N,35919,++++
17,17,Sunday Apr 26,boxscore,STL,@,MIL,L,3,6,,12-5,1,up 2.0,Blazek,Lynn,Rodriguez,3:03,D,32758,-
18,18,Monday Apr 27,boxscore,STL,,PHI,L,1,4,,12-6,1,up 1.0,Hamels,Lackey,Papelbon,2:32,N,40052,--
19,19,Tuesday Apr 28,boxscore,STL,,PHI,W,11,5,,13-6,1,up 1.0,Wacha,Gonzalez,,2:58,N,40143,+
20,20,Wednesday Apr 29,boxscore,STL,,PHI,W,5,2,,14-6,1,up 2.0,Martinez,Harang,Rosenthal,2:38,N,40399,++
21,21,Thursday Apr 30,boxscore,STL,,PHI,W,9,3,,15-6,1,up 2.5,Villanueva,Buchanan,,2:55,D,40715,+++
22,22,Friday May 1,boxscore,STL,,PIT,W-wo,2,1,10,16-6,1,up 2.5,Choate,Scahill,,3:31,N,40912,++++
23,23,Saturday May 2,boxscore,STL,,PIT,W-wo,2,1,11,17-6,1,up 3.5,Villanueva,Hughes,,3:27,D,45095,+++++
24,24,Sunday May 3,boxscore,STL,,PIT,W-wo,3,2,14,18-6,1,up 4.5,Socolovich,Liz,,4:28,D,44382,++++++
25,25,Monday May 4,boxscore,STL,,CHC,W,10,9,,19-6,1,up 5.5,Socolovich,Strop,Maness,3:39,N,41981,+++++++
26,26,Tuesday May 5,boxscore,STL,,CHC,W,7,4,,20-6,1,up 6.5,Harris,Jackson,Rosenthal,3:13,N,41613,++++++++
27,27,Wednesday May 6,boxscore,STL,,CHC,L,5,6,,20-7,1,up 5.5,Lester,Lynn,Rondon,2:56,N,42207,-
28,28,Thursday May 7,boxscore,STL,,CHC,W,5,1,,21-7,1,up 6.5,Lackey,Arrieta,Rosenthal,2:53,D,44472,+
29,29,Friday May 8,boxscore,STL,@,PIT,W,8,5,,22-7,1,up 6.5,Wacha,Liriano,Rosenthal,2:58,N,33507,++
30,30,Saturday May 9,boxscore,STL,@,PIT,L,5,7,,22-8,1,up 6.5,Scahill,Martinez,Melancon,2:34,N,38068,-
31,31,Sunday May 10,boxscore,STL,@,PIT,L,3,4,,22-9,1,up 6.5,Hughes,Harris,Melancon,2:38,D,34036,--
32,32,Tuesday May 12,boxscore,STL,@,CLE,W,8,3,,23-9,1,up 6.0,Lynn,Carrasco,,3:31,N,12615,+
33,33,Wednesday May 13,boxscore,STL,@,CLE,L,0,2,,23-10,1,up 5.0,Kluber,Lackey,Allen,2:47,N,12313,-
34,34,Thursday May 14,boxscore,STL,@,CLE,W,2,1,,24-10,1,up 5.0,Siegrist,Rzepczynski,Rosenthal,3:12,D,15865,+
35,35,Friday May 15,boxscore,STL,,DET,L,4,10,,24-11,1,up 4.0,Greene,Martinez,,3:26,N,45601,-
36,36,Saturday May 16,boxscore,STL,,DET,L,3,4,10,24-12,1,up 3.0,Hardy,Belisle,Soria,3:54,D,45313,--
37,37,Sunday May 17,boxscore,STL,,DET,W,2,1,,25-12,1,up 4.0,Lynn,Simon,Rosenthal,2:57,N,43654,+
38,38,Monday May 18,boxscore,STL,@,NYM,L-wo,1,2,14,25-13,1,up 3.5,Torres,Tuivailala,,4:14,N,23338,-
39,39,Tuesday May 19,boxscore,STL,@,NYM,W,10,2,,26-13,1,up 4.5,Wacha,Niese,,2:43,N,21157,+
40,40,Wednesday May 20,boxscore,STL,@,NYM,W,9,0,,27-13,1,up 4.5,Martinez,Colon,,2:43,N,23726,++
41,41,Thursday May 21,boxscore,STL,@,NYM,L,0,5,,27-14,1,up 3.5,deGrom,Garcia,,2:26,D,32783,-
42,42,Friday May 22,boxscore,STL,@,KCR,L,0,5,,27-15,1,up 3.5,Young,Lynn,,2:53,N,37379,--
43,43,Saturday May 23,boxscore,STL,@,KCR,L,2,3,6,27-16,1,up 2.5,Volquez,Lackey,,1:40,N,38676,---
44,44,Sunday May 24,boxscore,STL,@,KCR,W,6,1,,28-16,1,up 3.5,Wacha,Ventura,,2:40,D,36342,+
45,45,Monday May 25,boxscore,STL,,ARI,W-wo,3,2,10,29-16,1,up 4.5,Rosenthal,Ramirez,,3:24,D,42853,++
46,46,Tuesday May 26,boxscore,STL,,ARI,W,6,4,,30-16,1,up 4.5,Garcia,Bradley,Maness,2:51,N,41107,+++
47,47,Wednesday May 27,boxscore,STL,,ARI,W-wo,4,3,,31-16,1,up 5.5,Maness,Ziegler,,3:19,N,43715,++++
48,48,Friday May 29,boxscore,STL,,LAD,W,3,0,,32-16,1,up 6.5,Lackey,Bolsinger,Rosenthal,2:58,N,44223,+++++
49,49,Saturday May 30,boxscore,STL,,LAD,L,1,5,,32-17,1,up 6.0,Frias,Wacha,,2:53,N,44754,-
50,50,Sunday May 31,boxscore,STL,,LAD,W,3,1,,33-17,1,up 6.0,Martinez,Anderson,Rosenthal,2:33,D,45285,+
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
